Cancer_Group_Site,Year,Sex,State_Territory,Count
Melanoma of the skin,1982.0,Males,New South Wales,650.0
Melanoma of the skin,1982.0,Males,Victoria,279.0
Melanoma of the skin,1982.0,Males,Queensland,474.0
Melanoma of the skin,1982.0,Males,Western Australia,164.0
Melanoma of the skin,1982.0,Males,South Australia,121.0
Melanoma of the skin,1982.0,Males,Tasmania,30.0
Melanoma of the skin,1982.0,Males,Australian Capital Territory,
Melanoma of the skin,1982.0,Males,Northern Territory,
Melanoma of the skin,1982.0,Males,Australia,1738.0
Melanoma of the skin,1982.0,Females,New South Wales,651.0
Melanoma of the skin,1982.0,Females,Victoria,365.0
Melanoma of the skin,1982.0,Females,Queensland,427.0
Melanoma of the skin,1982.0,Females,Western Australia,173.0
Melanoma of the skin,1982.0,Females,South Australia,127.0
Melanoma of the skin,1982.0,Females,Tasmania,38.0
Melanoma of the skin,1982.0,Females,Australian Capital Territory,
Melanoma of the skin,1982.0,Females,Northern Territory,
Melanoma of the skin,1982.0,Females,Australia,1802.0
Melanoma of the skin,1982.0,Persons,New South Wales,1301.0
Melanoma of the skin,1982.0,Persons,Victoria,644.0
Melanoma of the skin,1982.0,Persons,Queensland,901.0
Melanoma of the skin,1982.0,Persons,Western Australia,337.0
Melanoma of the skin,1982.0,Persons,South Australia,248.0
Melanoma of the skin,1982.0,Persons,Tasmania,68.0
Melanoma of the skin,1982.0,Persons,Australian Capital Territory,
Melanoma of the skin,1982.0,Persons,Northern Territory,
Melanoma of the skin,1982.0,Persons,Australia,3540.0
Melanoma of the skin,1983.0,Males,New South Wales,692.0
Melanoma of the skin,1983.0,Males,Victoria,319.0
Melanoma of the skin,1983.0,Males,Queensland,455.0
Melanoma of the skin,1983.0,Males,Western Australia,165.0
Melanoma of the skin,1983.0,Males,South Australia,120.0
Melanoma of the skin,1983.0,Males,Tasmania,31.0
Melanoma of the skin,1983.0,Males,Australian Capital Territory,
Melanoma of the skin,1983.0,Males,Northern Territory,
Melanoma of the skin,1983.0,Males,Australia,1818.0
Melanoma of the skin,1983.0,Females,New South Wales,730.0
Melanoma of the skin,1983.0,Females,Victoria,402.0
Melanoma of the skin,1983.0,Females,Queensland,462.0
Melanoma of the skin,1983.0,Females,Western Australia,165.0
Melanoma of the skin,1983.0,Females,South Australia,148.0
Melanoma of the skin,1983.0,Females,Tasmania,45.0
Melanoma of the skin,1983.0,Females,Australian Capital Territory,
Melanoma of the skin,1983.0,Females,Northern Territory,
Melanoma of the skin,1983.0,Females,Australia,1980.0
Melanoma of the skin,1983.0,Persons,New South Wales,1422.0
Melanoma of the skin,1983.0,Persons,Victoria,721.0
Melanoma of the skin,1983.0,Persons,Queensland,917.0
Melanoma of the skin,1983.0,Persons,Western Australia,330.0
Melanoma of the skin,1983.0,Persons,South Australia,268.0
Melanoma of the skin,1983.0,Persons,Tasmania,76.0
Melanoma of the skin,1983.0,Persons,Australian Capital Territory,
Melanoma of the skin,1983.0,Persons,Northern Territory,
Melanoma of the skin,1983.0,Persons,Australia,3798.0
Melanoma of the skin,1984.0,Males,New South Wales,761.0
Melanoma of the skin,1984.0,Males,Victoria,331.0
Melanoma of the skin,1984.0,Males,Queensland,536.0
Melanoma of the skin,1984.0,Males,Western Australia,173.0
Melanoma of the skin,1984.0,Males,South Australia,123.0
Melanoma of the skin,1984.0,Males,Tasmania,31.0
Melanoma of the skin,1984.0,Males,Australian Capital Territory,
Melanoma of the skin,1984.0,Males,Northern Territory,
Melanoma of the skin,1984.0,Males,Australia,1993.0
Melanoma of the skin,1984.0,Females,New South Wales,738.0
Melanoma of the skin,1984.0,Females,Victoria,414.0
Melanoma of the skin,1984.0,Females,Queensland,504.0
Melanoma of the skin,1984.0,Females,Western Australia,173.0
Melanoma of the skin,1984.0,Females,South Australia,159.0
Melanoma of the skin,1984.0,Females,Tasmania,35.0
Melanoma of the skin,1984.0,Females,Australian Capital Territory,
Melanoma of the skin,1984.0,Females,Northern Territory,
Melanoma of the skin,1984.0,Females,Australia,2048.0
Melanoma of the skin,1984.0,Persons,New South Wales,1499.0
Melanoma of the skin,1984.0,Persons,Victoria,745.0
Melanoma of the skin,1984.0,Persons,Queensland,1040.0
Melanoma of the skin,1984.0,Persons,Western Australia,346.0
Melanoma of the skin,1984.0,Persons,South Australia,282.0
Melanoma of the skin,1984.0,Persons,Tasmania,66.0
Melanoma of the skin,1984.0,Persons,Australian Capital Territory,
Melanoma of the skin,1984.0,Persons,Northern Territory,
Melanoma of the skin,1984.0,Persons,Australia,4041.0
Melanoma of the skin,1985.0,Males,New South Wales,830.0
Melanoma of the skin,1985.0,Males,Victoria,396.0
Melanoma of the skin,1985.0,Males,Queensland,545.0
Melanoma of the skin,1985.0,Males,Western Australia,212.0
Melanoma of the skin,1985.0,Males,South Australia,165.0
Melanoma of the skin,1985.0,Males,Tasmania,31.0
Melanoma of the skin,1985.0,Males,Australian Capital Territory,
Melanoma of the skin,1985.0,Males,Northern Territory,
Melanoma of the skin,1985.0,Males,Australia,2221.0
Melanoma of the skin,1985.0,Females,New South Wales,780.0
Melanoma of the skin,1985.0,Females,Victoria,472.0
Melanoma of the skin,1985.0,Females,Queensland,541.0
Melanoma of the skin,1985.0,Females,Western Australia,208.0
Melanoma of the skin,1985.0,Females,South Australia,197.0
Melanoma of the skin,1985.0,Females,Tasmania,49.0
Melanoma of the skin,1985.0,Females,Australian Capital Territory,
Melanoma of the skin,1985.0,Females,Northern Territory,
Melanoma of the skin,1985.0,Females,Australia,2288.0
Melanoma of the skin,1985.0,Persons,New South Wales,1610.0
Melanoma of the skin,1985.0,Persons,Victoria,868.0
Melanoma of the skin,1985.0,Persons,Queensland,1086.0
Melanoma of the skin,1985.0,Persons,Western Australia,420.0
Melanoma of the skin,1985.0,Persons,South Australia,362.0
Melanoma of the skin,1985.0,Persons,Tasmania,80.0
Melanoma of the skin,1985.0,Persons,Australian Capital Territory,
Melanoma of the skin,1985.0,Persons,Northern Territory,
Melanoma of the skin,1985.0,Persons,Australia,4509.0
Melanoma of the skin,1986.0,Males,New South Wales,915.0
Melanoma of the skin,1986.0,Males,Victoria,377.0
Melanoma of the skin,1986.0,Males,Queensland,640.0
Melanoma of the skin,1986.0,Males,Western Australia,226.0
Melanoma of the skin,1986.0,Males,South Australia,168.0
Melanoma of the skin,1986.0,Males,Tasmania,33.0
Melanoma of the skin,1986.0,Males,Australian Capital Territory,30.0
Melanoma of the skin,1986.0,Males,Northern Territory,6.0
Melanoma of the skin,1986.0,Males,Australia,2406.0
